message,label
"Congratulations! You won a lottery of $1,000,000. Click the link to claim.",spam
"Hello, how are you doing today?",ham
Get cheap loans at 0% interest. Apply now!,spam
Let's catch up over coffee this weekend.,ham
Win a free iPhone now! Just enter your details.,spam
Meeting scheduled at 3 PM. Please be on time.,ham
Exclusive deal! Buy one get one free. Limited time offer!,spam
Don't forget to submit your assignment by Friday.,ham
Urgent! Your account has been compromised. Reset password now.,spam
Can you send me the report by tomorrow?,ham
You have been selected for a special discount on your insurance plan.,spam
Let's go for a walk in the park.,ham
Earn money from home without any investment. Sign up now!,spam
Please call me when you are free.,ham
Your subscription is expiring soon. Renew now to continue enjoying services.,spam
Happy birthday! Have a great day ahead.,ham
Get a free trial of our premium services. No credit card required.,spam
See you at the gym later!,ham
Double your money in a month! Invest now.,spam
"Hey, are you coming to the party tonight?",ham
"Congratulations! You won a lottery of $1,000,000. Click the link to claim.",spam
"Hello, how are you doing today?",ham
Get cheap loans at 0% interest. Apply now!,spam
Let's catch up over coffee this weekend.,ham
Win a free iPhone now! Just enter your details.,spam
Meeting scheduled at 3 PM. Please be on time.,ham
Exclusive deal! Buy one get one free. Limited time offer!,spam
Don't forget to submit your assignment by Friday.,ham
Urgent! Your account has been compromised. Reset password now.,spam
Can you send me the report by tomorrow?,ham
You have been selected for a special discount on your insurance plan.,spam
Let's go for a walk in the park.,ham
Earn money from home without any investment. Sign up now!,spam
Please call me when you are free.,ham
Your subscription is expiring soon. Renew now to continue enjoying services.,spam
Happy birthday! Have a great day ahead.,ham
Get a free trial of our premium services. No credit card required.,spam
See you at the gym later!,ham
Double your money in a month! Invest now.,spam
"Hey, are you coming to the party tonight?",ham
"Congratulations! You won a lottery of $1,000,000. Click the link to claim.",spam
"Hello, how are you doing today?",ham
Get cheap loans at 0% interest. Apply now!,spam
Let's catch up over coffee this weekend.,ham
Win a free iPhone now! Just enter your details.,spam
Meeting scheduled at 3 PM. Please be on time.,ham
Exclusive deal! Buy one get one free. Limited time offer!,spam
Don't forget to submit your assignment by Friday.,ham
Urgent! Your account has been compromised. Reset password now.,spam
Can you send me the report by tomorrow?,ham
You have been selected for a special discount on your insurance plan.,spam
Let's go for a walk in the park.,ham
Earn money from home without any investment. Sign up now!,spam
Please call me when you are free.,ham
Your subscription is expiring soon. Renew now to continue enjoying services.,spam
Happy birthday! Have a great day ahead.,ham
Get a free trial of our premium services. No credit card required.,spam
See you at the gym later!,ham
Double your money in a month! Invest now.,spam
"Hey, are you coming to the party tonight?",ham
"Congratulations! You won a lottery of $1,000,000. Click the link to claim.",spam
"Hello, how are you doing today?",ham
Get cheap loans at 0% interest. Apply now!,spam
Let's catch up over coffee this weekend.,ham
Win a free iPhone now! Just enter your details.,spam
Meeting scheduled at 3 PM. Please be on time.,ham
Exclusive deal! Buy one get one free. Limited time offer!,spam
Don't forget to submit your assignment by Friday.,ham
Urgent! Your account has been compromised. Reset password now.,spam
Can you send me the report by tomorrow?,ham
You have been selected for a special discount on your insurance plan.,spam
Let's go for a walk in the park.,ham
Earn money from home without any investment. Sign up now!,spam
Please call me when you are free.,ham
Your subscription is expiring soon. Renew now to continue enjoying services.,spam
Happy birthday! Have a great day ahead.,ham
Get a free trial of our premium services. No credit card required.,spam
See you at the gym later!,ham
Double your money in a month! Invest now.,spam
"Hey, are you coming to the party tonight?",ham
"Congratulations! You won a lottery of $1,000,000. Click the link to claim.",spam
"Hello, how are you doing today?",ham
Get cheap loans at 0% interest. Apply now!,spam
Let's catch up over coffee this weekend.,ham
Win a free iPhone now! Just enter your details.,spam
Meeting scheduled at 3 PM. Please be on time.,ham
Exclusive deal! Buy one get one free. Limited time offer!,spam
Don't forget to submit your assignment by Friday.,ham
Urgent! Your account has been compromised. Reset password now.,spam
Can you send me the report by tomorrow?,ham
You have been selected for a special discount on your insurance plan.,spam
Let's go for a walk in the park.,ham
Earn money from home without any investment. Sign up now!,spam
Please call me when you are free.,ham
Your subscription is expiring soon. Renew now to continue enjoying services.,spam
Happy birthday! Have a great day ahead.,ham
Get a free trial of our premium services. No credit card required.,spam
See you at the gym later!,ham
Double your money in a month! Invest now.,spam
"Hey, are you coming to the party tonight?",ham
